Kota,Persentase_Penduduk_Miskin_2020,Garis_Kemiskinan_2020,PDRB_2020,JumlahPenduduk_2020,Kasus_Aktif_2021_per100rb,2020_Persentase_Pengangguran_Terbuka,2020_Angka_Partisipasi_Murni_SD,Kabupaten_Kota,Luas_wilayah,2020_Unit_UMKM,Rumah Sakit Umum 2018,Rumah Sakit Khusus 2018,Bilik Kesehatan 2018,Total Instansi Kesehatan 2018,2020_Angka_Partisipasi_Murni_SMP,2020_Angka_Partisipasi_Murni_SMA
Kabupaten Bogor,7.69,402877,236146.66,6088233,4.85,14.29,97.84,Kabupaten,2711,476844,23,6,41,70,79.26,62.14
Kabupaten Sukabumi,7.09,328284,67391.62,2470219,1.51,9.6,91.76,Kabupaten,4146,342015,7,0,56,63,73.77,57.33
Kabupaten Cianjur,10.36,371699,47523.49,2264328,108.92,11.05,89.99,Kabupaten,3840,318882,4,0,63,67,75.39,56.92
Kabupaten Bandung,6.91,367403,123049.25,3831505,18.39,8.58,92.42,Kabupaten,1768,449164,8,0,56,64,77.55,59.35
Kabupaten Garut,9.98,310437,58043,2636637,67.69,8.96,95.64,Kabupaten,3074,329477,6,0,80,86,74.35,65.53
Kabupaten Tasikmalaya,10.34,323880,37446.15,1755710,21.01,7.12,91.65,Kabupaten,2551,239114,1,1,57,59,72.15,61.07
Kabupaten Ciamis,7.62,378108,31974.41,1201685,13.68,5.66,90.15,Kabupaten,1415,177642,4,0,62,66,76.25,58.88
Kabupaten Kuningan,12.82,352358,25617.84,1087105,3.18,11.22,98.41,Kabupaten,1111,120639,8,1,25,34,80.75,78.3
Kabupaten Cirebon,11.24,393452,49561.3,2209633,9.67,11.52,96.78,Kabupaten,985,321166,8,3,68,79,77.17,63.31
Kabupaten Majalengka,11.43,453201,32055.21,1210709,6.47,5.84,95.44,Kabupaten,1204,199411,2,2,31,35,78.48,67.96
Kabupaten Sumedang,10.26,353092,35490.75,1154428,8.63,9.89,95.91,Kabupaten,1518,147743,3,0,67,70,78.73,63.91
Kabupaten Indramayu,12.7,474807,79286.23,1737624,2.87,9.21,90.66,Kabupaten,2040,242900,7,0,45,52,71.93,57.47
Kabupaten Subang,9.31,351885,39594.76,1612576,6.25,9.48,93.92,Kabupaten,1894,215859,7,1,90,98,80.46,75.75
Kabupaten Purwakarta,8.27,378287,67176.2,971889,16.33,11.07,95.87,Kabupaten,826,110926,8,2,123,133,81.03,67.98
Kabupaten Karawang,8.26,466152,225063.63,2370488,1.8,11.52,95.03,Kabupaten,1652,297011,18,3,332,353,76.93,65.96
Kabupaten Bekasi,4.82,518667,317943.13,3899017,7.56,11.54,99.97,Kabupaten,1225,293752,42,5,221,268,80.7,78.44
Kabupaten Bandung Barat,10.49,362212,46478.9,1714982,7.05,12.25,,Kabupaten,1306,198707,6,2,105,113,,
Kabupaten Pangandaran,8.99,382264,11498.28,401493,32.93,5.08,92.36,Kabupaten,1010,76658,0,0,15,15,74.77,53.73
Kota Bogor,6.68,547399,45940.26,1126927,22.98,12.68,97.34,Kota,119,109858,15,4,116,135,83.59,93.24
Kota Sukabumi,7.7,547415,12401.97,330691,-2.99,12.17,93.1,Kota,48,50834,6,0,22,28,81.66,92.56
Kota Bandung,3.99,500452,283616.64,2510103,90.95,11.19,94.83,Kota,168,437290,20,15,212,247,80.54,94.17
Kota Cirebon,9.52,457954,23440.38,322322,11.66,10.97,93.61,Kota,37,51142,9,2,33,44,82.85,86.06
Kota Bekasi,4.38,657953,96569.48,3075690,45.7,10.68,96.02,Kota,207,258170,36,4,233,273,86.58,80.18
Kota Depok,2.45,688194,70390.56,2484186,70.7,9.87,92.36,Kota,200,206463,17,7,190,214,83.72,82.43
Kota Cimahi,5.11,511375,32210.69,620393,7.88,13.3,90.82,Kota,39,72357,6,1,47,54,78.93,84.74
Kota Tasikmalaya,12.97,470150,21589.49,663986,11.55,7.99,89.07,Kota,172,115843,7,5,55,67,79.37,85.62
Kota Banjar,6.09,344363,4461.49,183299,13.42,6.73,92.39,Kota,113,32925,3,0,21,24,76.66,80.83
Provinsi Jawa Barat,7.88,410988,2121961.77,49935858,,,,,,,347,,,,,